target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s
si_etch,0,0,0.994439,3.600232,3.567333,2.758374,0.021591,6.03,0.0011250000000000001,87.33
si_etch,0,1,0.952781,3.524017,3.51177,2.749999,0.051832,6.02,0.0003750000000000002,74.21
si_etch,0,2,0.937028,3.494763,3.475507,2.89898,0.071313,6.43,0.0,73.94
oxide_etch,0,0,1.022662,0.078133,0.07297,0.056656,0.112362,9.18,0.0011250000000000001,75.39
oxide_etch,0,1,0.848258,0.071159,0.072921,0.057944,0.113569,8.86,0.0003750000000000002,75.25
oxide_etch,0,2,0.872969,0.072188,0.069233,0.05484,0.200951,8.7,0.0,74.54
