fold,mean_rmse,mean_r2,mean_mae,late_rmse,late_r2,late_mae,rmse_delta_late_minus_mean,r2_delta_late_minus_mean,improved
0,0.0464759487567916,0.6399208389834704,0.0313061710340104,0.0565803909784902,0.4663293141434882,0.0369661181197779,0.010104442221698602,-0.1735915248399822,False
1,0.0478257942811344,0.6025411790661488,0.0314869791052629,0.0487186512719901,0.5875623814411703,0.0321167436799542,0.0008928569908557005,-0.014978797624978446,False
2,0.0572368798159851,0.4407553779328216,0.0365814607977,0.0567305205371513,0.4506065823143647,0.036622972261488,-0.0005063592788338012,0.009851204381543077,True
3,0.0454095560870423,0.6515470233310795,0.0295212759023599,0.0459468077882788,0.6432529805498406,0.0288285790720533,0.0005372517012365019,-0.008294042781238908,False
4,0.0712749658928369,0.1885177479733444,0.0525389915325221,0.0687851868610125,0.2442209794370755,0.0506663030378529,-0.0024897790318244017,0.0557032314637311,True
