target,lot,experiment_key,wafer_num,n_points,rmse,mae,r2,mape_pct
oxide_etch,1,2024-07-02_01,1,89,0.017422653368433624,0.016055086355530816,0.9465910317427921,2.6564974037916
oxide_etch,1,2024-07-02_02,2,89,0.016774469357944903,0.015322574068990989,0.9475067935650291,2.6145240076601897
oxide_etch,1,2024-07-02_03,3,89,0.0142122546058667,0.012704772225926432,0.9636860849583867,2.1554721059914015
oxide_etch,1,2024-07-02_04,4,89,0.017555199037440895,0.01406602276844925,0.9444488889705089,2.458514673884342
oxide_etch,1,2024-07-02_05,5,89,0.006248677578599002,0.00497784875751881,0.9927690064653416,0.8849649125291317
oxide_etch,1,2024-07-02_06,6,89,0.006768341856592074,0.005182969771074445,0.9915972865094567,0.9233769278861347
oxide_etch,1,2024-07-02_08,8,89,0.09439946121028588,0.07126926136820504,-0.6932947547929795,13.932938022895481
oxide_etch,1,2024-07-02_09,9,89,0.09296389229048946,0.07045983096187035,-0.631341975685167,13.710686682066939
oxide_etch,1,2024-07-02_10,10,89,0.00941682978182942,0.0076943173837126,0.9830085972090129,1.3012453944965217
oxide_etch,2,2024-07-05_01,1,89,0.011970019234818231,0.0101145345173525,0.9738322972789318,1.7208805096568258
oxide_etch,2,2024-07-05_02,2,89,0.02092687735692923,0.019623575585611754,0.9235823035005674,3.403105618843306
oxide_etch,2,2024-07-05_03,3,89,0.013160455709829886,0.010096298509769225,0.9704842752167642,1.7225420711083097
oxide_etch,2,2024-07-05_04,4,89,0.09823335790624677,0.07357978619886248,-0.6613314071964573,14.304565428985553
oxide_etch,2,2024-07-05_05,5,89,0.01886979368412021,0.015201122908110029,0.9395938456982416,2.8272923792387625
oxide_etch,2,2024-07-05_06,6,89,0.009310872831405036,0.00808682033185209,0.9848428044912583,1.4609604782230083
oxide_etch,2,2024-07-05_07,7,89,0.008654935668769913,0.0072716397515843415,0.9869533689161635,1.3041656646612374
oxide_etch,2,2024-07-05_08,8,89,0.014880260857452119,0.013763578085417156,0.9603091482087737,2.483674037682747
oxide_etch,2,2024-07-05_09,9,89,0.09769242282529085,0.07378651285439394,-0.717502774591013,14.52881343999241
oxide_etch,2,2024-07-05_10,10,89,0.023662483945583467,0.019516490818409442,0.900051325331472,3.6996048378672195
oxide_etch,3,2024-07-09_01,1,89,0.03836478395620831,0.03174642063258739,0.7509501993953889,5.814976129214043
oxide_etch,3,2024-07-09_02,2,89,0.08042770159945824,0.06526951542061367,-0.1663892211766429,11.860078936708746
oxide_etch,3,2024-07-09_03,3,89,0.06142595386117389,0.04388308725999982,0.23755768581443204,5.927146670142758
oxide_etch,3,2024-07-09_04,4,89,0.045723282488256696,0.02591925859451294,0.5797074303506591,3.296483532450604
oxide_etch,3,2024-07-09_05,5,89,0.04144890578118174,0.024103969670413585,0.6427006587229769,3.1272589360091816
oxide_etch,3,2024-07-09_06,6,89,0.04994701546671771,0.02884821945361877,0.4655446394776033,3.7897826321535066
oxide_etch,3,2024-07-09_07,7,89,0.0428740926899748,0.02875033121430472,0.5802781132622834,3.936946292902646
oxide_etch,3,2024-07-09_08,8,89,0.0633045020162847,0.04476608921972553,0.09376251499658872,6.280390254581625
oxide_etch,3,2024-07-09_09,9,89,0.06980480364355997,0.04961853616693047,-0.08894147197183733,6.857264555162673
oxide_etch,3,2024-07-09_10,10,89,0.08028818066218768,0.05432642376824711,-0.30037346916121255,7.240382985415829
oxide_etch,4,2024-07-11_01,1,89,0.08509253497516764,0.06691853584868185,-0.4501754087104368,9.070358075136394
oxide_etch,4,2024-07-11_02,2,89,0.08176461482056313,0.06415045261383057,-0.36909433667387126,8.748926963283928
