target,lot,day,n_wafers,n_points,y_true_mean,y_true_std,rmse,mae,r2,mape_pct
oxide_etch,1,2024-07-02,9,801,0.5870156543010778,0.07439082932558976,0.045731318613982566,0.024192520406808745,0.621617383193235,4.515357792355749
oxide_etch,2,2024-07-05,10,890,0.5813858807086945,0.07612293696147752,0.0460944898242205,0.025104035956136295,0.6329246689354392,4.745560446625937
oxide_etch,3,2024-07-09,10,890,0.6768696018149344,0.07993103218267396,0.0593139989476365,0.0397231851400954,0.4487205374732498,5.813071092474161
oxide_etch,4,2024-07-11,10,890,0.6934489626562997,0.06713252031690597,0.055100517428925355,0.03625419106376305,0.3255749448693852,4.965520933888774
oxide_etch,5,2024-07-19,10,890,0.6741696346341894,0.0583303014968596,0.05307654914100674,0.03348157251818796,0.17109423387164224,5.013448500298191
oxide_etch,6,2024-08-01,10,890,0.6630593716428521,0.05882179378512361,0.05971597597672866,0.04099641415510285,-0.0317934971080851,6.433260502188581
oxide_etch,7,2024-08-05,6,534,0.6843123113394677,0.056754074616840046,0.041919343521145715,0.025866185792822963,0.45342608689700004,3.807379441192556
oxide_etch,8,2024-08-07,10,890,0.6837769968456097,0.056547269747910016,0.04601287992670881,0.029354340574714574,0.3371369714204585,4.231304284616676
oxide_etch,9,2024-08-21,9,801,0.682147582595268,0.05689777162483442,0.04739962359340656,0.031412342886502076,0.30513282035804956,4.633740594858536
oxide_etch,10,2024-08-22,4,356,0.6653964834266834,0.07304661357150322,0.07207552762117839,0.047908687022294894,0.02366888176695192,7.876762796317836
si_etch,1,2024-07-02,9,801,43.67940746978874,3.5546649765140366,0.3749806254498389,0.30368926849555733,0.988858008137121,0.6925397067316545
si_etch,2,2024-07-05,10,890,43.53081722902448,3.5232499862875772,0.37850131758248035,0.31885682438196733,0.9884459000765821,0.7263111230174045
si_etch,3,2024-07-09,10,890,43.76188528939579,3.6226753533125793,0.472333009213382,0.23715173957053176,0.9829813146896924,0.5424661460929873
si_etch,4,2024-07-11,10,890,43.72847762804353,3.631146185790309,0.4738941721293939,0.38739634738879253,0.982948463679077,0.8759807484383417
si_etch,5,2024-07-19,10,890,43.481077734272134,3.5626079143129696,0.31723583884378764,0.24400528897060425,0.9920618979413403,0.5584248497082177
si_etch,6,2024-08-01,10,890,43.557539157653125,3.644728030304369,0.6500435921186781,0.33385300368405474,0.9681548752041395,0.7834767145711117
si_etch,7,2024-08-05,6,534,43.719149707408434,3.6199147518160446,0.20859151071371407,0.17061692141415014,0.996673323113824,0.3900976698119058
si_etch,8,2024-08-07,10,890,43.613837359996324,3.631432974420336,0.324940525818852,0.25212320906392643,0.991984327994005,0.5791948279338771
si_etch,9,2024-08-21,9,801,43.80734054336833,3.668982036367012,0.29257278305310735,0.21091912182678138,0.9936332293726854,0.47804642838235983
si_etch,10,2024-08-22,4,356,44.09064407562941,3.6752544246214867,0.2523152214613853,0.18574738234616364,0.9952735645736922,0.41294065234914995
