target,rmse,mae,r2,mape_pct,fold,best_epoch,n_train,n_val,fit_seconds,train_target_mean,train_target_std,val_target_mean,val_target_std,target_mean_shift
oxide_etch,0.0433066761607759,0.02605310966087489,0.6873552326436261,4.015039112002474,0,38,6230,1602,1334.81,0.6586672067642212,0.07726197689771652,0.6561293005943298,0.07745140045881271,-0.0025379061698913574
oxide_etch,0.045377983188550665,0.024126899908176732,0.6421853344628101,3.7852156522235667,1,32,6319,1513,1380.7,0.658473789691925,0.07764645665884018,0.6567878723144531,0.07586056739091873,-0.0016859173774719238
oxide_etch,0.05544493405570079,0.034704594878431826,0.47522437159541375,5.14011154241769,2,9,6319,1513,680.11,0.6576641798019409,0.0774829164147377,0.6601694226264954,0.07653763890266418,0.0025052428245544434
oxide_etch,0.03927449188516354,0.021835859888204176,0.7393421454975858,3.19256536569025,3,31,6230,1602,1347.78,0.6565231680870056,0.07732181996107101,0.6644672751426697,0.07692635804414749,0.007944107055664062
oxide_etch,0.07306449997853319,0.05075191625495082,0.14725766868162904,8.395398148308452,4,31,6230,1602,1342.62,0.6594144105911255,0.07678299397230148,0.6532235145568848,0.07912204414606094,-0.006190896034240723
si_etch,0.30461224689091543,0.24264066555675645,0.9928660841055031,0.5466716988799414,0,10,6230,1602,712.55,43.64896774291992,3.6102848052978516,43.74262619018555,3.606478691101074,0.093658447265625
si_etch,0.28195689125859813,0.21963297509233132,0.9939237533425495,0.5009623266823604,1,34,6319,1513,1381.29,43.65693664550781,3.607832431793213,43.71483612060547,3.6171374320983887,0.05789947509765625
si_etch,0.3137910006054677,0.2560209386488971,0.9923959269708575,0.5866778249511249,2,12,6319,1513,780.35,43.689754486083984,3.6120545864105225,43.57777404785156,3.59846568107605,-0.11198043823242188
si_etch,0.48704154379535075,0.23747153645299943,0.9820442971008332,0.5546184986272817,3,18,6230,1602,947.73,43.644962310791016,3.602893114089966,43.758174896240234,3.6346685886383057,0.11321258544921875
si_etch,0.5473223964648458,0.40836343277110887,0.9767050534573107,0.9367577598559279,4,9,6230,1602,687.83,43.6998405456543,3.6150898933410645,43.544769287109375,3.58601713180542,-0.15507125854492188
