target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s,mixup_n_applied,mixup_lam_mean
oxide_etch,0,44,0.426193,0.050236,0.068186,0.042127,0.248027,6.81,0.0003456708580912723,2.74,18,0.5955
oxide_etch,0,45,0.468141,0.05265,0.06928,0.042349,0.223686,6.96,0.000339591987386325,2.73,18,0.4915
oxide_etch,0,46,0.423728,0.05009,0.067733,0.042238,0.257978,6.8,0.0003334517148084426,2.72,18,0.6193
oxide_etch,0,47,0.384127,0.047692,0.068589,0.0425,0.239114,6.8,0.00032725424859373676,2.73,18,0.5476
oxide_etch,0,48,0.514391,0.05519,0.06932,0.041826,0.222802,6.93,0.0003210038361759806,2.73,18,0.4075
oxide_etch,0,49,0.406706,0.049074,0.069864,0.042791,0.210543,6.89,0.00031470476127563006,2.73,18,0.4879
oxide_etch,0,50,0.440598,0.051078,0.073837,0.041766,0.118201,6.27,0.00030836134096397623,2.74,18,0.5259
oxide_etch,0,51,0.461738,0.052289,0.079225,0.043362,-0.015171,6.36,0.00030197792270443964,2.74,18,0.4649
oxide_etch,0,52,0.507028,0.054793,0.082722,0.045061,-0.106786,6.59,0.0002955588813730367,2.73,18,0.6826
oxide_etch,0,53,0.479632,0.053292,0.081775,0.044773,-0.081567,6.58,0.0002891086162600575,2.74,18,0.5649
oxide_etch,0,54,0.3906,0.048092,0.078427,0.043594,0.005172,6.54,0.0002826315480550127,2.77,18,0.6357
oxide_etch,0,55,0.342302,0.045021,0.076689,0.044468,0.048787,6.89,0.0002761321158169132,2.8,18,0.44
oxide_etch,0,56,0.379331,0.047394,0.070542,0.043266,0.195155,7.06,0.00026961477393196105,2.8,18,0.4869
oxide_etch,0,57,0.395977,0.048422,0.070659,0.042719,0.192488,7.11,0.0002630839890607357,2.82,18,0.5495
oxide_etch,0,58,0.452248,0.051749,0.071884,0.044268,0.164245,7.43,0.00025654423707696807,2.79,18,0.5545
oxide_etch,0,59,0.400833,0.048718,0.07007,0.042668,0.205884,7.07,0.00024999999999999984,2.76,18,0.5096
oxide_etch,0,60,0.491206,0.053931,0.072624,0.042962,0.146935,6.7,0.00024345576292303153,2.78,18,0.5463
oxide_etch,0,61,0.383278,0.047639,0.074945,0.04282,0.091538,6.5,0.00023691601093926386,2.76,18,0.5346
oxide_etch,0,62,0.346106,0.04527,0.077331,0.042388,0.032787,6.25,0.00023038522606803858,2.71,18,0.5024
oxide_etch,0,63,0.346093,0.04527,0.077894,0.042293,0.01866,6.21,0.00022386788418308646,2.7,18,0.5561
oxide_etch,0,64,0.380151,0.047445,0.08447,0.045828,-0.154034,6.62,0.00021736845194498695,3.08,18,0.4658
oxide_etch,0,65,0.342863,0.045058,0.080746,0.043455,-0.054537,6.29,0.00021089138373994208,2.89,18,0.3637
oxide_etch,0,66,0.292718,0.041633,0.074949,0.041456,0.091455,6.18,0.000204441118626963,2.86,18,0.6554
oxide_etch,0,67,0.358435,0.04607,0.071457,0.041592,0.174144,6.49,0.00019802207729555996,2.92,18,0.2639
oxide_etch,0,68,0.306175,0.042579,0.071056,0.041707,0.183384,6.53,0.00019163865903602348,3.02,18,0.5579
oxide_etch,0,69,0.335376,0.044563,0.071477,0.041864,0.173672,6.55,0.00018529523872436965,2.89,18,0.4737
oxide_etch,0,70,0.339119,0.044811,0.074967,0.042215,0.091024,6.49,0.00017899616382401916,2.92,18,0.536
oxide_etch,0,71,0.4005,0.048698,0.07478,0.04233,0.095546,6.51,0.000172745751406263,2.86,18,0.5826
oxide_etch,0,72,0.335425,0.044566,0.075295,0.041974,0.083035,6.36,0.00016654828519155714,2.91,18,0.4258
oxide_etch,0,73,0.303218,0.042373,0.075136,0.041945,0.086922,6.39,0.0001604080126136748,2.86,18,0.4049
oxide_etch,0,74,0.316212,0.043271,0.075009,0.041691,0.090002,6.29,0.00015432914190872742,2.94,18,0.3313
oxide_etch,0,75,0.357514,0.04601,0.075702,0.041304,0.073109,6.11,0.00014831583923104983,2.98,18,0.4863
oxide_etch,0,76,0.358385,0.046066,0.074695,0.041525,0.097605,6.25,0.00014237222579792616,3.01,18,0.3556
oxide_etch,0,77,0.29336,0.041678,0.074903,0.041172,0.092575,6.12,0.0001365023750651132,2.96,18,0.395
oxide_etch,0,78,0.326388,0.043962,0.075838,0.040761,0.06977,5.94,0.00013071030993509777,2.99,18,0.5183
oxide_etch,0,79,0.319518,0.043497,0.076213,0.041078,0.060552,5.98,0.00012499999999999995,3.01,18,0.518
oxide_etch,0,80,0.336436,0.044634,0.072718,0.040911,0.144728,6.18,0.0001193753588210127,2.96,18,0.5268
oxide_etch,0,81,0.332101,0.044345,0.074415,0.041037,0.104353,6.05,0.00011384024124624322,2.96,18,0.5868
oxide_etch,0,82,0.277462,0.040533,0.073727,0.041267,0.120826,6.19,0.00010839844076879165,3.03,18,0.651
oxide_etch,0,83,0.284809,0.041066,0.067204,0.040269,0.269525,6.34,0.00010305368692688166,3.09,18,0.4922
oxide_etch,0,84,0.292193,0.041595,0.064426,0.039441,0.328666,6.35,9.780964274781976e-05,2.69,18,0.3686
oxide_etch,0,85,0.280404,0.040748,0.064385,0.039524,0.329516,6.37,9.266990223754061e-05,2.69,18,0.4118
oxide_etch,0,86,0.313521,0.043087,0.064245,0.039395,0.332438,6.39,8.763798791745405e-05,2.69,18,0.5366
oxide_etch,0,87,0.339635,0.044845,0.064851,0.039666,0.319784,6.34,8.271734841028546e-05,2.71,18,0.6465
oxide_etch,0,88,0.324972,0.043867,0.067842,0.040337,0.255581,6.29,7.79113560765614e-05,2.7,18,0.581
oxide_etch,0,89,0.276027,0.040428,0.068232,0.040697,0.247001,6.37,7.322330470336307e-05,2.7,18,0.6227
oxide_etch,0,90,0.314823,0.043176,0.067924,0.040428,0.253785,6.3,6.865640724692804e-05,2.74,18,0.5684
oxide_etch,0,91,0.299402,0.042105,0.067868,0.040346,0.255007,6.26,6.421379363065142e-05,2.72,18,0.5025
oxide_etch,0,92,0.304668,0.042474,0.066214,0.039906,0.290887,6.3,5.989850859999223e-05,2.69,18,0.2769
oxide_etch,0,93,0.262639,0.039436,0.065818,0.039744,0.299343,6.3,5.571350963575724e-05,2.8,18,0.6229
oxide_etch,0,94,0.297335,0.04196,0.065659,0.039659,0.302719,6.29,5.166166492719115e-05,3.03,18,0.4799
oxide_etch,0,95,0.294034,0.041726,0.067321,0.04006,0.266967,6.24,4.7745751406263136e-05,2.97,18,0.6543
oxide_etch,0,96,0.276214,0.040442,0.067163,0.040013,0.27041,6.23,4.3968452844496104e-05,2.81,18,0.3471
oxide_etch,0,97,0.32024,0.043546,0.065508,0.039477,0.305927,6.24,4.033235801364399e-05,2.82,18,0.4904
oxide_etch,0,98,0.295431,0.041825,0.068128,0.039912,0.249301,6.11,3.683995891147693e-05,2.79,18,0.4461
oxide_etch,0,99,0.31575,0.04324,0.066021,0.039472,0.295007,6.17,3.3493649053890304e-05,2.73,18,0.498
oxide_etch,0,100,0.31186,0.042972,0.067917,0.040153,0.253948,6.21,3.0295721834508663e-05,2.76,18,0.5289
oxide_etch,0,101,0.286249,0.04117,0.068742,0.040219,0.235702,6.17,2.7248368952908038e-05,2.74,18,0.4694
oxide_etch,0,102,0.27058,0.040027,0.06963,0.040503,0.215838,6.18,2.4353678912534886e-05,2.74,18,0.6555
oxide_etch,0,103,0.285249,0.041098,0.068751,0.040282,0.235505,6.19,2.1613635589349744e-05,2.72,18,0.4318
oxide_etch,0,104,0.264783,0.039596,0.06746,0.039789,0.263956,6.14,1.9030116872178306e-05,2.73,18,0.4169
oxide_etch,0,105,0.281848,0.040852,0.067552,0.039791,0.261932,6.13,1.6604893375699555e-05,2.75,18,0.4246
oxide_etch,0,106,0.271365,0.040085,0.065793,0.038988,0.299872,6.07,1.4339627226955412e-05,2.7,18,0.5888
oxide_etch,0,107,0.305418,0.042526,0.065616,0.039001,0.303629,6.08,1.223587092621161e-05,2.71,18,0.4933
oxide_etch,0,108,0.289738,0.04142,0.065444,0.038905,0.307273,6.07,1.0295066282951759e-05,2.73,18,0.4033
oxide_etch,0,109,0.286644,0.041198,0.065052,0.038758,0.315555,6.07,8.518543427732916e-06,2.72,18,0.3131
oxide_etch,0,110,0.288488,0.041331,0.065155,0.038844,0.313378,6.08,6.907519900580856e-06,2.76,18,0.4253
oxide_etch,0,111,0.257095,0.039017,0.065288,0.038839,0.310574,6.05,5.463099816548574e-06,2.72,18,0.3711
oxide_etch,0,112,0.330774,0.044256,0.064515,0.038827,0.326804,6.19,4.18627310901137e-06,2.75,18,0.5048
oxide_etch,0,113,0.27224,0.04015,0.064802,0.038773,0.320814,6.11,3.077914851215583e-06,2.73,18,0.4036
oxide_etch,0,114,0.272064,0.040137,0.065462,0.038833,0.306907,6.04,2.138784656547403e-06,2.71,18,0.6256
oxide_etch,0,115,0.287964,0.041293,0.065127,0.038692,0.313973,6.03,1.3695261579316489e-06,2.74,18,0.4878
oxide_etch,0,116,0.281736,0.040844,0.064538,0.038586,0.326335,6.08,7.706665667180085e-07,2.78,18,0.4777
oxide_etch,0,117,0.310722,0.042894,0.064671,0.038791,0.323555,6.14,3.4261631135654146e-07,2.76,18,0.4761
oxide_etch,0,118,0.280473,0.040753,0.064489,0.038673,0.327346,6.13,8.566875611068497e-08,2.79,18,0.5556
oxide_etch,0,119,0.274197,0.040294,0.064735,0.038585,0.322216,6.04,0.0,2.73,18,0.5395
oxide_etch,1,0,0.926777,0.074491,0.074369,0.05603,0.066925,9.05,0.0004999143312438893,3.16,18,0.644
oxide_etch,1,1,0.732549,0.066227,0.065231,0.051221,0.282138,7.98,0.0004996573836886434,2.78,18,0.4784
oxide_etch,1,2,0.72425,0.06585,0.064125,0.050662,0.30628,7.73,0.000499229333433282,2.77,18,0.3347
oxide_etch,1,3,0.699697,0.064725,0.062787,0.049885,0.33492,7.59,0.0004986304738420682,2.72,18,0.5576
oxide_etch,1,4,0.700151,0.064746,0.061669,0.048471,0.358408,7.38,0.0004978612153434525,2.69,18,0.3887
oxide_etch,1,5,0.617335,0.060796,0.060791,0.047584,0.37653,7.17,0.0004969220851487844,2.72,18,0.5666
oxide_etch,1,6,0.589561,0.059413,0.058032,0.044417,0.431845,6.68,0.0004958137268909886,2.69,18,0.4884
oxide_etch,1,7,0.515363,0.055548,0.055018,0.04083,0.489321,6.12,0.0004945369001834513,2.7,18,0.4947
oxide_etch,1,8,0.45627,0.052267,0.054345,0.039049,0.501748,5.81,0.000493092480099419,2.71,18,0.3656
oxide_etch,1,9,0.502018,0.054824,0.055759,0.038663,0.475477,5.74,0.0004914814565722669,2.73,18,0.5558
oxide_etch,1,10,0.564866,0.058155,0.055653,0.037749,0.477473,5.55,0.0004897049337170481,2.79,18,0.3532
oxide_etch,1,11,0.545513,0.05715,0.052805,0.036628,0.529593,5.47,0.00048776412907378824,2.75,18,0.3799
oxide_etch,1,12,0.53432,0.056561,0.052382,0.035772,0.537088,5.31,0.0004856603727730445,2.76,18,0.3915
oxide_etch,1,13,0.429246,0.050695,0.052631,0.035913,0.532673,5.34,0.0004833951066243003,2.73,18,0.4417
oxide_etch,1,14,0.427031,0.050564,0.051108,0.034504,0.559342,5.1,0.00048096988312782156,2.71,18,0.4382
oxide_etch,1,15,0.396729,0.048737,0.050551,0.033842,0.568887,5.0,0.00047838636441065006,2.72,18,0.3974
oxide_etch,1,16,0.391462,0.048413,0.050605,0.03366,0.567961,4.96,0.0004756463210874651,2.72,18,0.4323
oxide_etch,1,17,0.425477,0.050472,0.049888,0.032764,0.580119,4.82,0.00047275163104709185,2.81,18,0.593
oxide_etch,1,18,0.362374,0.046579,0.04987,0.032603,0.580424,4.8,0.0004697042781654912,2.82,18,0.429
oxide_etch,1,19,0.399614,0.048914,0.048408,0.030967,0.604659,4.55,0.0004665063509461096,2.94,18,0.3759
oxide_etch,1,20,0.358861,0.046353,0.047783,0.03018,0.614801,4.44,0.00046316004108852294,2.92,18,0.3137
