day,wafer_num,process_group,n_cycles,duration_s,iv_median,iv_std,iv_min,iv_max,anomalous
2024_07_02,1,Day_2024_07_02_Wafer_01,101,691.4800000190735,6.0,0.5964025449482332,4.599999904632568,11.799999952316284,True
2024_07_02,2,Day_2024_07_02_Wafer_02,101,701.9699997901917,6.0,1.0498971453998398,5.799999952316284,15.0,True
2024_07_02,3,Day_2024_07_02_Wafer_03,101,691.4400000572205,6.0,0.5964025391437004,4.6000001430511475,11.799999952316284,True
2024_07_02,4,Day_2024_07_02_Wafer_04,101,691.5,6.0,0.5964025407427447,4.6000001430511475,11.799999952316284,True
2024_07_02,5,Day_2024_07_02_Wafer_05,101,701.9900000095367,6.0,1.060407465576145,5.800000190734863,15.0,True
2024_07_02,6,Day_2024_07_02_Wafer_06,101,691.4000000953674,6.0,0.5957314749305525,4.6000001430511475,11.799999952316284,True
2024_07_02,7,Day_2024_07_02_Wafer_07,101,691.7699999809265,6.0,0.5957314807416236,4.599999904632568,11.799999952316284,True
2024_07_02,8,Day_2024_07_02_Wafer_08,101,701.710000038147,6.0,1.0687768806851625,5.799999952316284,15.200000047683716,True
2024_07_02,9,Day_2024_07_02_Wafer_09,101,691.4399998188019,6.0,0.579223631474745,4.599999904632568,11.600000143051147,True
2024_07_02,10,Day_2024_07_02_Wafer_10,101,694.2000000476837,6.0,0.5964025391437004,4.6000001430511475,11.799999952316284,True
2024_07_05,1,Day_2024_07_05_Wafer_01,101,690.9500000476837,6.0,0.6200774182191021,4.3999998569488525,12.0,True
2024_07_05,2,Day_2024_07_05_Wafer_02,101,691.4500000476837,6.0,0.597072852326976,4.6000001430511475,11.799999952316284,True
2024_07_05,3,Day_2024_07_05_Wafer_03,101,691.710000038147,6.0,0.5970728587159737,4.599999904632568,11.799999952316284,True
2024_07_05,4,Day_2024_07_05_Wafer_04,101,701.960000038147,6.0,1.060422644479614,5.799999952316284,15.0,True
2024_07_05,5,Day_2024_07_05_Wafer_05,101,691.7200000286102,6.0,0.595731503745779,4.599999904632568,11.800000190734863,True
2024_07_05,6,Day_2024_07_05_Wafer_06,101,691.4399998188019,6.0,0.5964025695255486,4.599999904632568,11.800000190734863,True
2024_07_05,7,Day_2024_07_05_Wafer_07,101,691.4800000190735,6.0,0.5764546687491405,4.6000001430511475,11.599999904632568,True
2024_07_05,8,Day_2024_07_05_Wafer_08,101,701.960000038147,6.0,1.0609409889141181,5.800000190734863,15.0,True
2024_07_05,9,Day_2024_07_05_Wafer_09,101,691.4800000190735,6.0,0.602245790345716,4.400000095367432,11.799999952316284,True
2024_07_05,10,Day_2024_07_05_Wafer_10,101,649.0,6.0,0.5984112293216134,4.599999904632568,11.799999952316284,True
2024_07_09,1,Day_2024_07_09_Wafer_01,101,691.7200000286102,6.0,0.5830017229289204,4.599999904632568,11.610000133514404,True
2024_07_09,2,Day_2024_07_09_Wafer_02,101,701.710000038147,6.0,1.0607846131747243,5.799999952316284,15.0,True
2024_07_09,3,Day_2024_07_09_Wafer_03,101,691.7200000286102,6.0,0.5974366739928905,4.6000001430511475,11.809999942779541,True
2024_07_09,4,Day_2024_07_09_Wafer_04,101,691.4700000286102,6.0,0.5957314813339358,4.599999904632568,11.799999952316284,True
2024_07_09,5,Day_2024_07_09_Wafer_05,100,681.1800000667572,6.0,0.03944001205758242,5.990000009536743,6.200000047683716,False
2024_07_09,6,Day_2024_07_09_Wafer_06,101,691.5099999904633,6.0,0.5778408251968894,4.599999904632568,11.600000143051147,True
2024_07_09,7,Day_2024_07_09_Wafer_07,101,691.6499998569489,6.0,0.6226523949279538,4.3999998569488525,12.0,True
2024_07_09,8,Day_2024_07_09_Wafer_08,101,691.420000076294,6.0,0.5970728507297272,4.6000001430511475,11.799999952316284,True
