model,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mape_mean
XGB baseline,0.5511860030807021,0.08252258555691008,0.051447979305784444,0.00432943633426318,0.03075622462566228,4.767406335543283
Initial DL 5-fold,0.5426031122554752,0.23160567713971442,0.050740222648332355,0.013279168307449659,0.03290365377239006,5.096974802130957
OES top-k longrun,0.595947673596761,0.16252645162523785,0.048229142831168983,0.010031222942690881,0.029578729968479954,4.515343751282208
+ AUX wafer mean,0.621248542085357,0.13821105804390058,0.04682512625508,0.008886001463103217,0.027371153133446142,4.164213162021353
+ Mixup wafer-level,0.6437498533236174,0.08705108604216365,0.04575321394205044,0.005798497060018309,0.0275956703027264,4.209100270045889
+ EMA final,0.6664179363807178,0.11029937644575358,0.04401513571977346,0.007335983310007961,0.02550557398551828,3.8978552586740087
