day,wafer_num,n_raw,n_trimmed,trim_start_edge_idx,cycle1_start_s,cycle100_start_s,total_duration_s,iv_min,iv_max,iv_std,ok
2024_07_19,5,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.3999998569488525,0.16442010150445413,True
2024_07_19,6,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15942963449508063,True
2024_07_19,7,101,100,1,29.799999952316284,623.2000000476837,593.4000000953674,4.799999952316284,6.200000047683716,0.13767051029318114,True
2024_07_19,8,101,100,1,30.009999990463257,623.4099998474121,593.3999998569489,4.599999904632568,6.2099997997283936,0.15644935460379744,True
2024_07_19,9,100,100,0,18.199999809265137,613.0,594.8000001907349,5.799999952316284,6.200000047683716,0.06304844547364341,True
2024_07_19,10,101,100,1,29.800000190734863,623.2000000476837,593.3999998569489,4.599999904632568,6.400000095367432,0.156874904947878,True
2024_08_01,1,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9004482554772644,True
2024_08_01,2,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.16442011029267894,True
2024_08_01,3,101,100,1,30.0,623.4000000953674,593.4000000953674,4.599999904632568,6.200000047683716,0.1568749142518269,True
2024_08_01,4,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.15427784248681942,True
2024_08_01,5,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.1568749110884843,True
2024_08_01,6,101,100,1,29.799999952316284,633.6000001430511,603.8000001907349,6.0,15.0,0.899999433380468,True
2024_08_01,7,101,100,1,30.0,633.8000001907349,603.8000001907349,5.799999952316284,15.0,0.9013452300119943,True
2024_08_01,8,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15427782697147852,True
2024_08_01,9,101,100,1,29.799999952316284,623.2000000476837,593.4000000953674,4.6000001430511475,6.200000047683716,0.16194409984699318,True
2024_08_01,10,101,100,1,29.799999952316284,623.2000000476837,593.4000000953674,4.599999904632568,6.200000047683716,0.1594296586639188,True
2024_08_05,1,101,100,1,29.799999952316284,623.0,593.2000000476837,4.400000095367432,6.200000047683716,0.17272430750084267,True
2024_08_05,2,101,100,1,30.009999990463257,623.4099998474121,593.3999998569489,4.599999904632568,6.210000038146973,0.15760722197495083,True
2024_08_05,3,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9026890188943555,True
2024_08_05,4,101,100,1,30.0,623.3999998569489,593.3999998569489,4.599999904632568,6.200000047683716,0.15942964950905905,True
2024_08_05,5,101,100,1,30.0,623.4000000953674,593.4000000953674,4.800000190734863,6.200000047683716,0.13167004319292308,True
2024_08_05,6,101,100,1,30.0,623.4000000953674,593.4000000953674,4.6000001430511475,6.200000047683716,0.15163630379382026,True
2024_08_07,1,101,100,1,30.0,633.7999999523163,603.7999999523163,5.799999952316284,15.0,0.9017933823067568,True
