target,rmse,mae,r2,mape_pct,fold,n_train,n_val,fit_seconds
si_etch,0.2650408862628336,0.16666169470169123,0.9945991885598809,0.3763801114268838,0,6230,1602,2.3
si_etch,0.23547149964946174,0.14187733510906778,0.9957621393950538,0.31860168965755586,1,6319,1513,2.05
si_etch,0.2741300195628066,0.20213161803836155,0.9941966534534399,0.4628481196103971,2,6319,1513,2.48
si_etch,0.44165774158657656,0.15758250804429644,0.9852347062736783,0.36916815054541746,3,6230,1602,3.11
si_etch,0.426149632440729,0.18670034944341424,0.9858778924436894,0.4269717165528839,4,6230,1602,3.33
oxide_etch,0.05135618093840344,0.030603191528129816,0.5603299322852411,4.760020983447753,0,6230,1602,3.56
oxide_etch,0.054067840501455335,0.032381957009070296,0.4920209461225459,5.2971678639385384,1,6319,1513,3.7
oxide_etch,0.05785849354197758,0.0349553047192467,0.4285422058286904,5.319397262124776,2,6319,1513,3.7
oxide_etch,0.04527513236596327,0.02634473228722476,0.6536069872812356,3.7925344638171268,3,6230,1602,3.61
oxide_etch,0.048682249181122836,0.029495937584640083,0.6214299438857975,4.667911104388224,4,6230,1602,3.67
