target,rmse,mae,r2,mape_pct,fold,best_epoch,n_train,n_val,fit_seconds
oxide_etch,0.039075133086276935,0.02389863892440939,0.7454679992075965,3.6284518530164176,0,37,6230,1602,692.91
oxide_etch,0.04467039239493916,0.024524359082986565,0.6532573277431748,3.8332771660566083,1,35,6319,1513,858.42
oxide_etch,0.05855170081630134,0.040391453866208536,0.4147668142980363,6.179584107451067,2,4,6319,1513,363.54
oxide_etch,0.03840298595062073,0.02188295754749379,0.7507818585407147,3.1919641860806736,3,33,6230,1602,722.16
oxide_etch,0.07300090099352388,0.05382085944085234,0.14874156148785367,8.651596698050017,4,11,6230,1602,429.83
si_etch,0.2877019170830362,0.2255140273609709,0.9936361669714441,0.5098250321868775,0,13,6230,1602,453.93
si_etch,0.32289565610972526,0.2574170119543384,0.9920311734675061,0.5865135130142779,1,14,6319,1513,540.04
si_etch,0.35055043007541775,0.28196724124563033,0.9905099976581909,0.6469270116787919,2,24,6319,1513,727.15
si_etch,0.4766065861971102,0.21689497605989339,0.9828054634284024,0.5052179408792448,3,21,6230,1602,584.57
si_etch,0.5430681054537236,0.38884090752190864,0.9770657853433058,0.8859391948300664,4,29,6230,1602,689.65
