target,rmse,mae,r2,mape_pct,fold,n_train,n_val,fit_seconds
si_etch,0.2606773633326,0.16687388426058003,0.9947755580991711,0.37728332183789715,0,6230,1602,2.29
si_etch,0.23038990149535335,0.1364430303378209,0.9959430762408885,0.3058927199533822,1,6319,1513,2.05
si_etch,0.26857732862052447,0.19653121131347334,0.9944293738855792,0.4486292298337651,2,6319,1513,2.1
si_etch,0.4391987050060946,0.15355845485882516,0.9853986672601235,0.35959937206493464,3,6230,1602,2.42
si_etch,0.42415895550003613,0.1823503491881486,0.9860095217612225,0.4171483819020199,4,6230,1602,2.27
oxide_etch,0.051096593672917266,0.030393739336736492,0.5647634512207568,4.726891891084529,0,6230,1602,2.43
oxide_etch,0.054500929534466364,0.032578112172198,0.4838504230437569,5.340239676491402,1,6319,1513,2.28
oxide_etch,0.05846584423501676,0.035042461601220765,0.41648185233962454,5.343216503659474,2,6319,1513,2.3
oxide_etch,0.04470009695970561,0.026067866591478556,0.6623501228789974,3.757004326856432,3,6230,1602,2.23
oxide_etch,0.048931419833473086,0.02971778644455804,0.6175447516186641,4.719871173792106,4,6230,1602,2.26
