experiment_dir,target,fold,experiment_key,rmse,mae,bias_pred_minus_true,y_mean,pred_mean,y_std,pred_std,corr
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-11_01,0.1263192766021607,0.09616670179902838,-0.09520429439758987,0.6986135880598862,0.6034092936622962,0.07066123012072645,0.05365678424952315,0.12915333677053534
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-11_02,0.11434627490061287,0.086141726943884,-0.08357429504394531,0.6955457959282264,0.6119715008842811,0.06987932611814252,0.04875141074712334,0.1716334102372064
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-05_04,0.08174419032978528,0.06085747279477923,0.05676819099469131,0.5819923094149386,0.63876050040963,0.07621331496579942,0.03599310502118273,0.6642879042023625
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-19_09,0.07639100746952447,0.049190478378467344,0.04916630702072315,0.6486990960796227,0.697865403100346,0.0527790106948078,0.04032475711145835,0.23339034971124048
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-01_06,0.07518443057179999,0.04335908206661096,0.04175910722003894,0.6492932244633021,0.691052331683341,0.05397132328760211,0.037206854351353034,0.09670274674417241
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-05_09,0.07208349146837724,0.055581580721930174,0.05231824517250061,0.5728502390759714,0.625168484248472,0.07454390794901344,0.04190994244421487,0.7769211169301533
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-09_10,0.0668332932662768,0.04039543130424585,-0.017059753450115074,0.6948525215802568,0.6777927681301417,0.07040727999013435,0.032498443694345604,0.40156861867905613
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-02_08,0.06204143191546061,0.04879143968057097,0.04394359434588572,0.5745922290207295,0.6185358233666152,0.07254428990539524,0.045682943163310966,0.8194697344193487
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-07_04,0.06082174006904301,0.04543689328632998,-0.03969046440017357,0.6872802450415794,0.6475897806414058,0.05679261265345833,0.03273823556870895,0.5844278997277745
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-22_01,0.05333320981742969,0.03832199868191494,-0.011143823687949877,0.683461734418119,0.6723179107301691,0.058486714249541195,0.03126135829397162,0.45880155923668353
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-02_09,0.053218792476353076,0.04260619604185726,0.03426734818501419,0.5764614125985777,0.610728760783592,0.07278498440760692,0.04986285323012142,0.8439678556454812
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-21_04,0.05193818833812341,0.039111101895235895,-0.020536637708042444,0.6769606872890772,0.6564240495810348,0.05610238059478705,0.030464871476674107,0.5265078174685557
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-09_02,0.050393188474762686,0.0432400412104103,0.018086555633652076,0.6032920308997122,0.6213785865333643,0.07447043816888829,0.044378016436548005,0.8022911820330074
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-07-19_07,0.046047490427095314,0.032667262500591494,-0.02011645978756165,0.6830332928828979,0.6629168330953362,0.056754580165403384,0.03010714374675389,0.7057403930755606
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-07_10,0.03836492083224567,0.02674469987997848,-0.006089895628811268,0.6817811298906133,0.6756912342618021,0.05688890044439662,0.031889961132008635,0.7768051677452115
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-21_10,0.03543101749912457,0.02518532383307982,0.003977050941981627,0.6792952974190872,0.6832723483610689,0.05634095580991209,0.034069231990879495,0.806326371464524
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-01_10,0.0352572518492528,0.024550421184368346,0.0027918514240993543,0.6829520725132374,0.6857439239373367,0.05673534838057825,0.03490429960038031,0.8084427177919403
outputs\experiments\2026-05-25_23-27_dl-multimodal-5fold,oxide_etch,4,2024-08-05_05,0.03219735143379376,0.023314226209447626,0.008026652791526881,0.6870660969380582,0.6950927497295851,0.0571373988942519,0.038967397847428156,0.8558062945046253
