target,rmse,mae,r2,mape_pct,fold,best_epoch,n_train,n_val,fit_seconds
si_etch,0.23886745622006061,0.1882389916314019,0.9956132060689082,0.42506907417885315,0,17,6230,1602,2093.45
oxide_etch,0.04628683366435027,0.0266772455230039,0.6428452702319315,4.177868109076578,0,32,6230,1602,3783.93
