target,fold,epoch,train_loss,train_rmse,val_rmse,val_mae,val_r2,val_mape,lr,elapsed_s,mixup_n_applied,mixup_lam_mean
oxide_etch,0,44,0.510541,0.054983,0.072551,0.043466,0.148651,7.0,0.0003456708580912723,6.41,18,0.3907
oxide_etch,0,45,0.394026,0.048303,0.073058,0.043705,0.136715,6.99,0.000339591987386325,6.4,18,0.6446
oxide_etch,0,46,0.625683,0.060868,0.072027,0.042835,0.160918,6.7,0.0003334517148084426,6.62,18,0.4249
oxide_etch,0,47,0.568645,0.058027,0.075503,0.041937,0.077973,6.21,0.00032725424859373676,6.42,18,0.4464
oxide_etch,0,48,0.45633,0.051982,0.079877,0.043313,-0.031963,6.31,0.0003210038361759806,5.8,18,0.5389
oxide_etch,0,49,0.532522,0.056154,0.075124,0.042949,0.087215,6.47,0.00031470476127563006,5.52,18,0.3686
oxide_etch,0,50,0.51378,0.055157,0.078533,0.043293,0.00247,6.34,0.00030836134096397623,5.57,18,0.7556
oxide_etch,0,51,0.437054,0.050872,0.081949,0.044488,-0.086191,6.46,0.00030197792270443964,5.62,18,0.4625
oxide_etch,0,52,0.430775,0.050505,0.08508,0.046578,-0.170777,6.72,0.0002955588813730367,5.42,18,0.4557
oxide_etch,0,53,0.431092,0.050524,0.087138,0.048228,-0.228095,6.95,0.0002891086162600575,5.4,18,0.4546
oxide_etch,0,54,0.531018,0.056074,0.079734,0.04423,-0.028255,6.49,0.0002826315480550127,5.44,18,0.3557
oxide_etch,0,55,0.584009,0.058806,0.068314,0.04043,0.245183,6.7,0.0002761321158169132,5.92,18,0.4484
oxide_etch,0,56,0.549735,0.057054,0.068511,0.040654,0.240841,6.78,0.00026961477393196105,6.35,18,0.4735
oxide_etch,0,57,0.414643,0.04955,0.07119,0.042566,0.180301,6.95,0.0002630839890607357,6.63,18,0.3867
oxide_etch,0,58,0.478193,0.053212,0.072589,0.043142,0.147767,6.75,0.00025654423707696807,6.36,18,0.5269
oxide_etch,0,59,0.417646,0.04973,0.078593,0.043489,0.000961,6.35,0.00024999999999999984,6.48,18,0.4818
oxide_etch,0,60,0.42021,0.049882,0.07732,0.042974,0.033068,6.3,0.00024345576292303153,6.43,18,0.6041
oxide_etch,0,61,0.423615,0.050084,0.07453,0.042387,0.101588,6.32,0.00023691601093926386,6.42,18,0.5841
